SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,LATITUDE,LONGITUDE
PAST SALE,August-30-2019,Single Family Residential,6479 W 29th St,Parma,OH,44134,122000,3,2,Mayflower,1044,19602,1972,522,117,0,Sold,41.3877537,-81.703452
PAST SALE,September-11-2019,Single Family Residential,5641 N Circleview,Seven Hills,OH,44131,178900,3,2.5,Seven Hills,1414,10890,1966,510,127,0,Sold,41.4093178,-81.6743658
PAST SALE,May-21-2019,Single Family Residential,15038 Alexander Rd,Walton Hills,OH,44146,215500,4,1.5,Walton Hills,2500,78408,1962,623,86,0,Sold,41.3578264,-81.5750878
PAST SALE,March-27-2020,Single Family Residential,2906 Torrington Ave,Parma,OH,44134,120000,3,1,Hearthstone 02,1064,4791,1954,312,113,0,Sold,41.4107478,-81.7037513
PAST SALE,June-20-2019,Single Family Residential,7473 S Cricket Ln,Seven Hills,OH,44131,226500,4,3,Mike Hewkos Cricket Lane,2214,12196,1966,593,102,0,Sold,41.3626363,-81.6683547
PAST SALE,February-6-2020,Single Family Residential,2350 Hillside Rd,Seven Hills,OH,44131,118000,3,1.5,Seven Hills,1252,20908,1940,362,94,0,Sold,41.3683523,-81.6712854
PAST SALE,February-22-2019,Single Family Residential,3226 Jasmine Dr,Seven Hills,OH,44131,208500,4,2.5,Mike Hewkos Cricket Lane,2064,13503,1966,711,101,0,Sold,41.3638552,-81.6677343
PAST SALE,July-19-2019,Single Family Residential,3115 Priscilla Ave,Parma,OH,44134,144000,3,2,Mayflower Properties,1064,5662,1956,564,135,0,Sold,41.3923499,-81.7057398
PAST SALE,July-10-2019,Single Family Residential,2919 King Richard Dr,Parma,OH,44134,145000,3,1.5,Richard 08,1320,8712,1968,573,110,0,Sold,41.3690767,-81.7042817
PAST SALE,April-13-2020,Single Family Residential,2703 Hearthstone Rd,Parma,OH,44134,70000,3,1,Hearthstone Land Cos Hearthst,1174,4791,1948,295,60,0,Sold,41.4074024,-81.7016252
PAST SALE,May-2-2019,Single Family Residential,2707 Stanfield Dr,Parma,OH,44134,128900,3,2,Park View,1111,14810,1955,642,116,0,Sold,41.3775254,-81.7012709
PAST SALE,March-26-2019,Single Family Residential,7407 Meadow Ln,Parma,OH,44134,147000,3,1.5,Gulfedge 03,1557,9147,1963,679,94,0,Sold,41.3645627,-81.7010999
PAST SALE,April-30-2019,Single Family Residential,2524 Augustine Dr,Parma,OH,44134,120600,3,1.5,Parma,1552,10454,1965,644,78,0,Sold,41.3734438,-81.6994105
PAST SALE,August-8-2019,Single Family Residential,2792 Friar Dr,Parma,OH,44134,173000,3,2,Parma,1569,9147,1961,544,110,0,Sold,41.3676565,-81.7024684
PAST SALE,July-3-2019,Single Family Residential,7684 Daytona Dr,Parma,OH,44134,225000,4,2.5,Broad-Valle 01,2120,11761,1962,580,106,0,Sold,41.3567272,-81.6952192
PAST SALE,May-31-2019,Single Family Residential,2907 Fortune Ave,Parma,OH,44134,120000,3,1,State Park Allotment/J Laronges,1126,5662,1949,613,107,0,Sold,41.411211,-81.7037086
PAST SALE,March-29-2019,Single Family Residential,2911 Parklane Dr,Parma,OH,44134,98000,3,1.5,Aberdeen Park,1087,5662,1945,676,90,0,Sold,41.3995379,-81.7040282
PAST SALE,February-14-2019,Single Family Residential,2325 Augustine Dr,Parma,OH,44134,214500,4,2.5,Charles 01,2148,10454,1966,719,100,0,Sold,41.3738814,-81.6960532
PAST SALE,March-18-2019,Single Family Residential,7603 Key West Dr,Parma,OH,44134,114000,3,1.5,Parma,1534,9147,1962,687,74,0,Sold,41.3585325,-81.6919472
PAST SALE,March-27-2019,Single Family Residential,6972 Edgecliff Dr,Parma,OH,44134,164000,3,2.5,Charles,1616,9583,1968,678,101,0,Sold,41.3766175,-81.695711
PAST SALE,July-5-2019,Single Family Residential,37175 Fox Run Dr,Solon,OH,44139,325000,4,2.5,Forest Park Sub #10,2392,17859,1970,578,136,0,Sold,41.3962332,-81.413432
PAST SALE,May-1-2019,Single Family Residential,34615 Lakeview Dr,Solon,OH,44139,258000,3,3,Sherbrook Park,2599,49222,1962,643,99,25,Sold,41.4029317,-81.4302591
PAST SALE,May-6-2019,Single Family Residential,310 Tahoe Trl,Orange Village,OH,44022,556795,3,3.5,Lakes of Orange,4019,9147,2018,638,139,150,Sold,41.42696,-81.483803
PAST SALE,May-29-2020,Single Family Residential,32987 Charmwood Oval,Solon,OH,44139,268000,4,2.5,Hunt Club,2500,12196,1968,249,107,0,Sold,41.3666548,-81.4459024
PAST SALE,April-7-2020,Single Family Residential,358 Nemet Dr,Seven Hills,OH,44131,226000,3,2.5,Charles Nemet 02,1436,20908,1958,301,157,0,Sold,41.3718218,-81.682387
PAST SALE,February-15-2019,Single Family Residential,9668 Covington Ave,Cleveland,OH,44105,163600,3,2.5,MillCreek,2108,3920,2004,718,78,61,Sold,41.4382646,-81.6182893
PAST SALE,March-22-2020,Single Family Residential,686 E Parkleigh Dr,Seven Hills,OH,44131,152000,3,1.5,Seven Hills,1226,6969,1959,317,124,0,Sold,41.3997687,-81.680954
PAST SALE,December-31-2019,Single Family Residential,20807 Libby Rd,Maple Heights,OH,44137,96000,4,2,Bedford Township,1198,8276,1954,399,80,0,Sold,41.4172175,-81.533908
PAST SALE,March-21-2019,Single Family Residential,13105 York Blvd,Garfield Heights,OH,44125,85000,3,1,York,1170,6098,1953,684,73,0,Sold,41.4065942,-81.5918015
PAST SALE,May-22-2020,Single Family Residential,16216 Kollin Ave,Cleveland,OH,44128,45000,4,1.5,Homstead Gardens,1290,4791,1972,256,35,0,Sold,41.4258015,-81.5672371
PAST SALE,June-11-2019,Single Family Residential,4957 E 93rd St,Garfield Heights,OH,44125,49000,3,1,Garfield Heights,1260,5662,1958,602,39,0,Sold,41.4250616,-81.6211257
PAST SALE,June-13-2019,Single Family Residential,2409 Tremont Ave,Cleveland,OH,44113,164000,3,1,Slade,1480,3484,1880,600,111,0,Sold,41.4790494,-81.685991
PAST SALE,February-12-2019,Single Family Residential,2841 Friar Dr,Parma,OH,44134,131000,3,1.5,Gulfedge 02,1150,9147,1961,721,114,0,Sold,41.3671739,-81.7033237
PAST SALE,August-26-2019,Single Family Residential,665 E Dawnwood Dr,Seven Hills,OH,44131,310000,4,2.5,Grandview,2492,10890,2004,526,124,0,Sold,41.4036352,-81.6812106
PAST SALE,February-27-2020,Single Family Residential,5860 Red Rock Ct,Seven Hills,OH,44131,245000,3,3,Stone Rdg Ph 02,1369,2613,2007,341,179,115,Sold,41.4048614,-81.683649
PAST SALE,November-26-2019,Single Family Residential,181 E Parkleigh Dr,Seven Hills,OH,44131,183000,3,1.5,Seven Hills,1221,14810,1959,434,150,0,Sold,41.4001654,-81.6840126
PAST SALE,June-14-2019,Single Family Residential,32800 Aspen Glen Dr,Solon,OH,44139,424000,4,2.5,Boulder Creek,3084,23958,1986,599,137,0,Sold,41.4232987,-81.4457736
PAST SALE,June-4-2019,Single Family Residential,32740 Shadowbrook Dr,Solon,OH,44139,487500,4,3.5,Som Hills Resub 02,3569,17859,1987,609,137,0,Sold,41.4218499,-81.4463959
PAST SALE,June-25-2019,Single Family Residential,80 Ridgecreek Trl,Moreland Hills,OH,44022,882000,5,5.5,Pebblebrook Estates,5142,87120,1986,588,172,23,Sold,41.4271115,-81.4388429
PAST SALE,December-6-2019,Single Family Residential,826 Timothy Ln,Cleveland,OH,44109,116000,3,2,West 11 Corps Pan-Col 01,988,6098,1960,424,117,0,Sold,41.4305717,-81.6845473
PAST SALE,May-31-2019,Single Family Residential,241 S Franklin St,Chagrin Falls,OH,44022,490000,4,2.5,Chagrin Falls,2730,10890,1860,613,179,0,Sold,41.4231784,-81.3914807
PAST SALE,April-25-2019,Single Family Residential,19516 Longview Ave,Maple Heights,OH,44137,84000,4,2,Town & Suburb Dev Co,1380,6098,1955,649,61,0,Sold,41.4224411,-81.5420515
PAST SALE,May-22-2019,Single Family Residential,19604 Wickfield Ave,Warrensville Heights,OH,44122,45000,3,1.5,Shakerwood 04-A,1331,6098,1952,622,34,0,Sold,41.4565009,-81.54158
PAST SALE,May-8-2019,Single Family Residential,2115 Lorimer Rd,Parma,OH,44134,138500,3,1.5,Broadview Farms,1809,18295,1952,636,77,0,Sold,41.3976556,-81.6952406
PAST SALE,August-5-2019,Single Family Residential,5404 E 129th St,Garfield Heights,OH,44125,125000,3,2.5,Garfield Park Overlook,1648,4791,2000,547,76,0,Sold,41.4149434,-81.5938207
PAST SALE,March-14-2019,Single Family Residential,3581 Alla Dr,Seven Hills,OH,44131,182500,3,2,Hillside Acres 01/M Hewko,1885,13939,1973,691,97,0,Sold,41.3737582,-81.6648676
PAST SALE,June-20-2019,Single Family Residential,74 John St,Bedford,OH,44146,85000,2,1,Ohio Land Bldg Co,758,6534,1953,593,112,0,Sold,41.3744628,-81.524349
PAST SALE,May-23-2019,Single Family Residential,21911 Halworth Rd,Beachwood,OH,44122,290000,4,2,Vansweringen,1925,10018,1955,621,151,0,Sold,41.4659763,-81.5248206
PAST SALE,June-13-2019,Single Family Residential,18409 Raymond St,Maple Heights,OH,44137,65000,3,1,Libby Gardens,1116,5227,1948,600,58,0,Sold,41.4220265,-81.5511797
PAST SALE,April-30-2019,Single Family Residential,19715 Cherrywood,Warrensville Heights,OH,44128,65000,4,1,Warrensville Heights,1512,9147,1952,644,43,0,Sold,41.4448071,-81.5404229
PAST SALE,July-26-2019,Single Family Residential,6628 Fleet Ave,Cleveland,OH,44105,40000,4,1.5,Cleveland,1863,5662,1908,557,21,0,Sold,41.4559262,-81.6428052
PAST SALE,August-1-2019,Single Family Residential,12925 Havana Rd,Garfield Heights,OH,44125,80000,3,1,Huber Allotment 01,1056,4791,1944,551,76,0,Sold,41.4030928,-81.5925986
PAST SALE,June-7-2019,Single Family Residential,3512 Park Dr,Parma,OH,44134,116000,5,1,Chesthts,1384,9147,1926,606,84,0,Sold,41.3795251,-81.7101498
PAST SALE,June-26-2019,Single Family Residential,23345 Comstock Rd,Bedford Heights,OH,44146,87000,3,1,Bedford Heights,1053,14374,1960,587,83,0,Sold,41.4129975,-81.5146602
PAST SALE,April-29-2019,Single Family Residential,26181 Tryon Rd,Oakwood Village,OH,44146,112000,3,1,Bedford Hlnds 03,1307,14374,1940,645,86,0,Sold,41.3649949,-81.495193
PAST SALE,February-8-2019,Single Family Residential,844 Wellmon,Bedford,OH,44146,186000,4,2.5,Bedford,2232,11761,1967,725,83,0,Sold,41.3913242,-81.5195048
PAST SALE,June-28-2019,Single Family Residential,749 Northfield Rd,Bedford,OH,44146,77000,3,1,Clearview Heights Allotment,1192,7840,1947,585,65,0,Sold,41.394183,-81.5261066
PAST SALE,February-6-2019,Single Family Residential,847 Mckinley Ave,Bedford,OH,44146,96400,3,1,Bedford Park Estates,1036,9147,1956,727,93,0,Sold,41.3916404,-81.5243062
PAST SALE,April-29-2019,Single Family Residential,742 Northfield Rd,Bedford,OH,44146,61000,3,2,Weltman Realty Cos Clearview,1131,9583,1951,645,54,0,Sold,41.3941139,-81.5267496
PAST SALE,February-11-2019,Single Family Residential,207 Ivanhoe Rd,Bedford,OH,44146,78000,3,1,Bedford,1170,5662,1942,722,67,0,Sold,41.3959582,-81.5288816
PAST SALE,June-7-2019,Single Family Residential,17202 Judson Dr,Cleveland,OH,44128,62000,3,1,Adler,1007,6534,1954,606,62,0,Sold,41.4464614,-81.5597069
PAST SALE,April-29-2019,Single Family Residential,4677 E 90th St,Garfield Heights,OH,44125,58000,4,2,Seltzer Round Companys Garfie,1331,5662,1953,645,44,0,Sold,41.4321443,-81.6223673
PAST SALE,April-15-2019,Single Family Residential,567 Darlington Dr,Bedford,OH,44146,100000,3,1,Bershire Heights Sub/M Helpers,1200,4791,1944,659,83,0,Sold,41.4002151,-81.5242526
PAST SALE,August-9-2019,Single Family Residential,14155 Ryan Dr,Walton Hills,OH,44146,395000,4,3.5,Rolling Hills,4529,40075,2003,543,87,0,Sold,41.3827475,-81.5792859
PAST SALE,May-27-2019,Single Family Residential,15715 Talford Ave,Cleveland,OH,44128,38500,3,1,Villa Park 01,1311,4791,1948,617,29,0,Sold,41.4544554,-81.5702039
PAST SALE,June-28-2019,Single Family Residential,6997 Kingswood Dr,Solon,OH,44139,350000,4,3.5,Solon,2650,18730,1983,585,132,0,Sold,41.3686739,-81.4521245
PAST SALE,May-10-2019,Single Family Residential,31275 Arthur Rd,Solon,OH,44139,209900,3,2,Solon,1830,122403,1900,634,115,0,Sold,41.3721116,-81.4574343
PAST SALE,June-4-2019,Single Family Residential,1956 Mapleview Dr,Seven Hills,OH,44131,212000,3,2.5,Overlook Park Allotment Proposed,2310,46173,1956,609,92,0,Sold,41.379937,-81.6733818
PAST SALE,December-20-2019,Single Family Residential,3951 White Oak Trl,Orange,OH,44122,350000,4,3.5,Orangewood,3278,16117,1978,410,107,21,Sold,41.4528839,-81.4684979
PAST SALE,March-17-2020,Single Family Residential,29260 Hidden Valley Dr,Orange Village,OH,44022,295000,3,2.5,Orange Village,2127,60548,1961,322,139,0,Sold,41.4295303,-81.4720746
PAST SALE,January-16-2020,Single Family Residential,6230 Randolph Rd,Bedford Heights,OH,44146,60900,3,1.5,Bedford Ridge Estates,1170,16552,1959,383,52,0,Sold,41.3901408,-81.5098153
PAST SALE,June-1-2020,Single Family Residential,6048 White Pine Dr,Bedford Heights,OH,44146,168500,4,2,Penns Wood,1738,10018,1964,246,97,0,Sold,41.3949494,-81.5081002
PAST SALE,June-16-2020,Single Family Residential,50 Nordham Dr,Bedford,OH,44146,113800,3,1,Elworthy Helwick Companys Hm,1200,9583,1953,231,95,0,Sold,41.3974474,-81.5318934
PAST SALE,September-11-2019,Single Family Residential,6560 Glenallen Ave,Solon,OH,44139,197000,3,2,Solon Allotment Companys,1680,11325,1964,510,117,0,Sold,41.3808179,-81.4486917
PAST SALE,July-2-2019,Single Family Residential,6658 Tupelo Dr,Bedford Heights,OH,44146,127000,3,1.5,Bedford Heights,1372,9147,1968,581,93,0,Sold,41.3762181,-81.500532
PAST SALE,February-12-2020,Single Family Residential,316 Miles Rd,Chagrin Falls,OH,44022,224000,2,2.5,Chagrin Falls,1572,22651,1904,356,142,0,Sold,41.4227929,-81.402677
PAST SALE,March-22-2019,Single Family Residential,4498 W 12th St,Cleveland,OH,44109,114000,3,1,Cleveland,1192,5227,1950,683,96,0,Sold,41.4334476,-81.6889852
PAST SALE,February-14-2019,Single Family Residential,871 Marcie Dr,Cleveland,OH,44109,135000,3,3,Marcie Drive Ext,1170,6098,1988,719,115,0,Sold,41.4264256,-81.6852317
PAST SALE,April-8-2019,Single Family Residential,12609 Willard Ave,Garfield Heights,OH,44125,73000,3,2,Garf Heights,1134,6969,1950,666,64,0,Sold,41.4133101,-81.5953908
PAST SALE,March-5-2019,Single Family Residential,12303 Havana Rd,Garfield Heights,OH,44125,115000,3,2,Honey Lane 02,1209,6534,1960,700,95,0,Sold,41.402009,-81.5984369
